entity	2022	2023	prc_change
Albcontrol	167588	165104	-1.48
ANA LUX	48084	43552	-9.43
ANS CR	362087	339738	-6.17
ARMATS	51290	51481	0.37
Austro Control	689939	673336	-2.41
Avinor	345606	317695	-8.08
BULATSA	533900	532915	-0.18
Croatia Control	479960	452598	-5.7
DCAC Cyprus	220688	242306	9.8
DFS	1656363	1525142	-7.92
DHMI	878986	893122	1.61
DSNA	1938563	1803347	-6.98
EANS	96022	82394	-14.19
ENAIRE	1305450	1237672	-5.19
ENAV	1112997	1040674	-6.5
EUROCONTROL Area (MS)	6040088	5699253	-5.64
Fintraffic ANS	125154	119559	-4.47
HASP	601899	554004	-7.96
HungaroControl (EC)	581072	568206	-2.21
IAA	382315	380368	-0.51
LFV	354247	332063	-6.26
LGS	127834	110874	-13.27
LPS	308571	287564	-6.81
LVNL	341716	313994	-8.11
M-NAV	159096	148603	-6.6
MATS	67587	76501	13.19
MOLDATSA	12776	12831	0.43
MUAC	1021943	971932	-4.89
NATS (Continental)	1376351	1328806	-3.45
NAV Portugal (Continental)	396776	381639	-3.81
NAVIAIR	339669	323490	-4.76
Oro Navigacija	110898	93157	-16
PANSA	408906	383175	-6.29
ROMATSA	425077	423676	-0.33
Sakaeronavigatsia	83933	122792	46.3
SES Area (RP1)	5664736	5318147	-6.12
skeyes	343097	318968	-7.03
Skyguide	770071	685677	-10.96
Slovenia Control	241322	223536	-7.37
SMATSA	517560	494682	-4.42
