Rank,TZ,DAIO,Yr,mvts
Base,NM Area,I,2010,1878453
Base,NM Area,I,2011,8073798
Base,NM Area,I,2012,7801698
Base,NM Area,I,2013,7626282
Base,NM Area,I,2014,7739785
Base,NM Area,I,2015,7888915
Base,NM Area,I,2016,8183738
Base,NM Area,I,2017,8501899
Base,NM Area,I,2018,8893607
Base,NM Area,I,2019,8950320
Base,NM Area,I,2020,4050524
Base,NM Area,I,2021,5052462
Base,NM Area,I,2022,7620831
Base,NM Area,I,2023,8386503.297
Base,NM Area,I,2024,8844944.154
Base,NM Area,I,2025,9030628.681
Base,NM Area,I,2026,9166112.736
Base,NM Area,I,2027,9280302.102
Base,NM Area,I,2028,9401585.788
Base,NM Area,I,2029,9472105.194
Base,NM Area,TI,2010,1878453
Base,NM Area,TI,2011,8073798
Base,NM Area,TI,2012,7801698
Base,NM Area,TI,2013,7626282
Base,NM Area,TI,2014,7739785
Base,NM Area,TI,2015,7888915
Base,NM Area,TI,2016,8183738
Base,NM Area,TI,2017,8501899
Base,NM Area,TI,2018,8893607
Base,NM Area,TI,2019,8950320
Base,NM Area,TI,2020,4050524
Base,NM Area,TI,2021,5052462
Base,NM Area,TI,2022,7620831
Base,NM Area,TI,2023,8386503.297
Base,NM Area,TI,2024,8844944.154
Base,NM Area,TI,2025,9030628.681
Base,NM Area,TI,2026,9166112.736
Base,NM Area,TI,2027,9280302.102
Base,NM Area,TI,2028,9401585.788
Base,NM Area,TI,2029,9472105.194
Base,NM Area,AD,2010,429478
Base,NM Area,AD,2011,1726178
Base,NM Area,AD,2012,1757384
Base,NM Area,AD,2013,1810733
Base,NM Area,AD,2014,1861325
Base,NM Area,AD,2015,1869189
Base,NM Area,AD,2016,1879200
Base,NM Area,AD,2017,1982745
Base,NM Area,AD,2018,2004702
Base,NM Area,AD,2019,2042750
Base,NM Area,AD,2020,880745
Base,NM Area,AD,2021,1099721
Base,NM Area,AD,2022,1531417
Base,NM Area,AD,2023,1785926.664
Base,NM Area,AD,2024,1940864.226
Base,NM Area,AD,2025,1993065.418
Base,NM Area,AD,2026,2039565.357
Base,NM Area,AD,2027,2083076.491
Base,NM Area,AD,2028,2130145.285
Base,NM Area,AD,2029,2167686.701
Base,NM Area,TAD,2010,429478
Base,NM Area,TAD,2011,1726178
Base,NM Area,TAD,2012,1757384
Base,NM Area,TAD,2013,1810733
Base,NM Area,TAD,2014,1861325
Base,NM Area,TAD,2015,1869189
Base,NM Area,TAD,2016,1879200
Base,NM Area,TAD,2017,1982745
Base,NM Area,TAD,2018,2004702
Base,NM Area,TAD,2019,2042750
Base,NM Area,TAD,2020,880745
Base,NM Area,TAD,2021,1099721
Base,NM Area,TAD,2022,1531417
Base,NM Area,TAD,2023,1785926.664
Base,NM Area,TAD,2024,1940864.226
Base,NM Area,TAD,2025,1993065.418
Base,NM Area,TAD,2026,2039565.357
Base,NM Area,TAD,2027,2083076.491
Base,NM Area,TAD,2028,2130145.285
Base,NM Area,TAD,2029,2167686.701
Base,NM Area,O,2010,31626
Base,NM Area,O,2011,109863
Base,NM Area,O,2012,114152
Base,NM Area,O,2013,131954
Base,NM Area,O,2014,139610
Base,NM Area,O,2015,131715
Base,NM Area,O,2016,128746
Base,NM Area,O,2017,122048
Base,NM Area,O,2018,113990
Base,NM Area,O,2019,113240
Base,NM Area,O,2020,53242
Base,NM Area,O,2021,88680
Base,NM Area,O,2022,100840
Base,NM Area,O,2023,157176.2897
Base,NM Area,TO,2010,31626
Base,NM Area,TO,2011,109863
Base,NM Area,TO,2012,114152
Base,NM Area,TO,2013,131954
Base,NM Area,TO,2014,139610
Base,NM Area,TO,2015,131715
Base,NM Area,TO,2016,128746
Base,NM Area,TO,2017,122048
Base,NM Area,TO,2018,113990
Base,NM Area,TO,2019,113240
Base,NM Area,TO,2020,53242
Base,NM Area,TO,2021,88680
Base,NM Area,TO,2022,100840
Base,NM Area,TO,2023,157176.2897
Base,NM Area,T,2010,2339557
Base,NM Area,T,2011,9909839
Base,NM Area,T,2012,9673234
Base,NM Area,T,2013,9568969
Base,NM Area,T,2014,9740720
Base,NM Area,T,2015,9889819
Base,NM Area,T,2016,10191684
Base,NM Area,T,2017,10606692
Base,NM Area,T,2018,11012299
Base,NM Area,T,2019,11106310
Base,NM Area,T,2020,4984511
Base,NM Area,T,2021,6240863
Base,NM Area,T,2022,9253088
Base,NM Area,T,2023,10329606.25
Base,NM Area,T,2024,10785808.38
Base,NM Area,T,2025,11023694.1
