country,scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Albania,High,,,,,268,301,314,328,341,352,362
Albania,Base,221,102,154,250,263,293,301,307,313,320,324
Albania,Low,,,,,258,284,286,287,286,288,288
Armenia,High,,,,,86,97,103,109,116,123,129
Armenia,Base,67,21,34,79,84,93,96,100,103,107,110
Armenia,Low,,,,,82,86,88,89,90,92,93
Austria,High,,,,,"1,417","1,542","1,596","1,646","1,691","1,726","1,753"
Austria,Base,"1,365",590,739,"1,267","1,396","1,505","1,540","1,563","1,583","1,604","1,617"
Austria,Low,,,,,"1,375","1,464","1,475","1,472","1,466","1,467","1,461"
Azerbaijan,High,,,,,212,238,249,260,271,283,293
Azerbaijan,Base,143,69,81,171,208,230,236,242,247,254,259
Azerbaijan,Low,,,,,203,214,216,218,220,223,225
Belgium/Luxembourg,High,,,,,"1,177","1,272","1,318","1,360","1,398","1,431","1,453"
Belgium/Luxembourg,Base,"1,249",541,639,"1,023","1,160","1,244","1,273","1,293","1,310","1,327","1,337"
Belgium/Luxembourg,Low,,,,,"1,144","1,209","1,219","1,219","1,217","1,219","1,215"
Bosnia and Herzego,High,,,,,468,505,526,547,567,585,600
Bosnia and Herzego,Base,432,184,263,424,461,492,504,513,522,531,537
Bosnia and Herzego,Low,,,,,453,477,480,479,477,478,476
Bulgaria,High,,,,,919,"1,012","1,051","1,091","1,130","1,166","1,197"
Bulgaria,Base,879,376,516,822,905,988,"1,011","1,030","1,047","1,066","1,080"
Bulgaria,Low,,,,,891,960,966,966,965,968,967
Croatia,High,,,,,810,872,907,941,975,"1,005","1,029"
Croatia,Base,714,301,461,713,797,850,870,886,899,915,925
Croatia,Low,,,,,784,827,830,828,825,827,824
Cyprus,High,,,,,415,457,484,510,538,565,591
Cyprus,Base,411,164,252,344,407,442,457,471,484,499,511
Cyprus,Low,,,,,398,414,419,421,424,429,432
Czech Republic,High,,,,,698,780,809,837,863,886,904
Czech Republic,Base,867,340,404,616,687,761,780,794,806,819,827
Czech Republic,Low,,,,,676,739,746,747,746,748,746
Denmark,High,,,,,577,646,665,683,700,714,724
Denmark,Base,669,275,300,505,568,631,641,649,656,663,666
Denmark,Low,,,,,560,613,614,613,610,610,606
Estonia,High,,,,,158,182,190,199,206,213,219
Estonia,Base,229,97,110,143,155,176,181,184,187,190,192
Estonia,Low,,,,,152,170,171,171,170,170,170
Finland,High,,,,,240,271,282,291,301,309,315
Finland,Base,285,119,123,205,236,265,269,273,277,280,282
Finland,Low,,,,,232,257,257,256,255,255,253
France,High,,,,,"3,278","3,524","3,670","3,798","3,915","4,010","4,078"
France,Base,"3,372","1,390","1,813","2,971","3,230","3,437","3,528","3,596","3,650","3,705","3,739"
France,Low,,,,,"3,181","3,339","3,362","3,365","3,359","3,368","3,357"
Georgia,High,,,,,181,195,206,218,229,241,252
Georgia,Base,138,65,85,145,178,189,195,201,207,214,220
Georgia,Low,,,,,174,180,182,184,186,189,191
Germany,High,,,,,"3,076","3,390","3,488","3,579","3,660","3,729","3,778"
Germany,Base,"3,394","1,479","1,712","2,713","3,032","3,309","3,383","3,425","3,458","3,495","3,514"
Germany,Low,,,,,"2,989","3,217","3,248","3,240","3,225","3,223","3,207"
Greece,High,,,,,996,"1,053","1,094","1,136","1,178","1,217","1,250"
Greece,Base,884,383,569,896,980,"1,026","1,049","1,068","1,087","1,107","1,121"
Greece,Low,,,,,965,997,"1,000",999,997,"1,000",998
Hungary,High,,,,,"1,018","1,119","1,164","1,209","1,252","1,290","1,323"
Hungary,Base,892,381,491,897,"1,002","1,092","1,119","1,141","1,160","1,181","1,196"
Hungary,Low,,,,,987,"1,061","1,069","1,069","1,068","1,071","1,070"
Iceland,High,,,,,205,227,237,247,256,265,273
Iceland,Base,195,85,111,178,202,222,228,233,238,243,247
Iceland,Low,,,,,199,216,218,219,220,221,221
Ireland,High,,,,,663,717,739,760,781,801,818
Ireland,Base,647,263,300,582,654,703,716,727,738,749,757
Ireland,Low,,,,,645,686,689,691,692,695,695
Israel,High,,,,,232,259,275,290,307,324,339
Israel,Base,205,67,102,185,228,251,260,268,276,285,293
Israel,Low,,,,,225,243,246,247,248,251,253
Italy,High,,,,,"2,015","2,170","2,264","2,347","2,426","2,491","2,544"
Italy,Base,"1,962",782,"1,106","1,788","1,982","2,107","2,153","2,184","2,210","2,237","2,253"
Italy,Low,,,,,"1,949","2,041","2,041","2,027","2,010","2,005","1,991"
Latvia,High,,,,,213,240,251,262,272,281,289
Latvia,Base,298,131,164,190,208,232,237,242,246,251,253
Latvia,Low,,,,,204,223,224,224,223,224,223
Lisbon FIR,High,,,,,688,727,765,802,837,863,878
Lisbon FIR,Base,651,267,345,610,679,710,732,751,766,781,790
Lisbon FIR,Low,,,,,669,690,696,698,697,700,698
Lithuania,High,,,,,203,230,241,251,261,270,277
Lithuania,Base,303,139,178,184,198,222,227,232,236,240,242
Lithuania,Low,,,,,193,212,213,213,212,213,212
Malta,High,,,,,118,125,131,138,144,151,157
Malta,Base,130,56,72,101,116,121,124,127,131,134,136
Malta,Low,,,,,113,116,116,117,117,118,118
Moldova,High,,,,,27,28,29,29,30,31,32
