Rank;TZ;DAIO;Yr;mvts
Base;NM Area;I;2010;1878430
Base;NM Area;I;2011;8073673
Base;NM Area;I;2012;7801574
Base;NM Area;I;2013;7626142
Base;NM Area;I;2014;7739663
Base;NM Area;I;2015;7888800
Base;NM Area;I;2016;8183652
Base;NM Area;I;2017;8501809
Base;NM Area;I;2018;8893486
Base;NM Area;I;2019;8950170
Base;NM Area;I;2020;4050376
Base;NM Area;I;2021;5052368
Base;NM Area;I;2022;7620749
Base;NM Area;I;2023;8216550,307
Base;NM Area;I;2024;8756449,252
Base;NM Area;I;2025;8899072,115
Base;NM Area;I;2026;9068149,946
Base;NM Area;I;2027;9212544,335
Base;NM Area;I;2028;9353674,576
Base;NM Area;I;2029;9431635,66
Base;NM Area;TI;2010;1878430
Base;NM Area;TI;2011;8073673
Base;NM Area;TI;2012;7801574
Base;NM Area;TI;2013;7626142
Base;NM Area;TI;2014;7739663
Base;NM Area;TI;2015;7888800
Base;NM Area;TI;2016;8183652
Base;NM Area;TI;2017;8501809
Base;NM Area;TI;2018;8893486
Base;NM Area;TI;2019;8950170
Base;NM Area;TI;2020;4050376
Base;NM Area;TI;2021;5052368
Base;NM Area;TI;2022;7620749
Base;NM Area;TI;2023;8216550,307
Base;NM Area;TI;2024;8756449,252
Base;NM Area;TI;2025;8899072,115
Base;NM Area;TI;2026;9068149,946
Base;NM Area;TI;2027;9212544,335
Base;NM Area;TI;2028;9353674,576
Base;NM Area;TI;2029;9431635,66
Base;NM Area;AD;2010;429478
Base;NM Area;AD;2011;1726178
Base;NM Area;AD;2012;1757380
Base;NM Area;AD;2013;1810733
Base;NM Area;AD;2014;1861325
Base;NM Area;AD;2015;1869189
Base;NM Area;AD;2016;1879199
Base;NM Area;AD;2017;1982745
Base;NM Area;AD;2018;2004702
Base;NM Area;AD;2019;2042750
Base;NM Area;AD;2020;880745
Base;NM Area;AD;2021;1099146
Base;NM Area;AD;2022;1530534
Base;NM Area;AD;2023;1795180,242
Base;NM Area;AD;2024;2011610,087
Base;NM Area;AD;2025;2055109,113
Base;NM Area;AD;2026;2105173,954
Base;NM Area;AD;2027;2152499,242
Base;NM Area;AD;2028;2201906,271
Base;NM Area;AD;2029;2241294,175
Base;NM Area;TAD;2010;429478
Base;NM Area;TAD;2011;1726178
Base;NM Area;TAD;2012;1757380
Base;NM Area;TAD;2013;1810733
Base;NM Area;TAD;2014;1861325
Base;NM Area;TAD;2015;1869189
Base;NM Area;TAD;2016;1879199
Base;NM Area;TAD;2017;1982745
Base;NM Area;TAD;2018;2004702
Base;NM Area;TAD;2019;2042750
Base;NM Area;TAD;2020;880745
Base;NM Area;TAD;2021;1099146
Base;NM Area;TAD;2022;1530534
Base;NM Area;TAD;2023;1795180,242
Base;NM Area;TAD;2024;2011610,087
Base;NM Area;TAD;2025;2055109,113
Base;NM Area;TAD;2026;2105173,954
Base;NM Area;TAD;2027;2152499,242
Base;NM Area;TAD;2028;2201906,271
Base;NM Area;TAD;2029;2241294,175
Base;NM Area;O;2010;31626
Base;NM Area;O;2011;109863
Base;NM Area;O;2012;114152
Base;NM Area;O;2013;131954
Base;NM Area;O;2014;139610
Base;NM Area;O;2015;131715
Base;NM Area;O;2016;128746
Base;NM Area;O;2017;122048
Base;NM Area;O;2018;113990
Base;NM Area;O;2019;113240
Base;NM Area;O;2020;53242
Base;NM Area;O;2021;88668
Base;NM Area;O;2022;100828
Base;NM Area;O;2023;137129,9561
Base;NM Area;TO;2010;31626
Base;NM Area;TO;2011;109863
Base;NM Area;TO;2012;114152
Base;NM Area;TO;2013;131954
Base;NM Area;TO;2014;139610
Base;NM Area;TO;2015;131715
Base;NM Area;TO;2016;128746
Base;NM Area;TO;2017;122048
Base;NM Area;TO;2018;113990
Base;NM Area;TO;2019;113240
Base;NM Area;TO;2020;53242
Base;NM Area;TO;2021;88668
Base;NM Area;TO;2022;100828
Base;NM Area;TO;2023;137129,9561
Base;NM Area;T;2010;2339534
Base;NM Area;T;2011;9909714
Base;NM Area;T;2012;9673106
Base;NM Area;T;2013;9568829
Base;NM Area;T;2014;9740598
Base;NM Area;T;2015;9889704
Base;NM Area;T;2016;10191597
Base;NM Area;T;2017;10606602
Base;NM Area;T;2018;11012178
Base;NM Area;T;2019;11106160
Base;NM Area;T;2020;4984363
Base;NM Area;T;2021;6240182
Base;NM Area;T;2022;9252111
Base;NM Area;T;2023;10148860,5
Base;NM Area;T;2024;10768059,34
Base;NM Area;T;2025;10954181,23
Base;NM Area;T;2026;11173323,9
Base;NM Area;T;2027;11365043,58
Base;NM Area;T;2028;11555580,85
Base;NM Area;T;2029;11672929,83
Base;Albania;I;2010;2
Base;Albania;I;2011;15
Base;Albania;I;2012;2
Base;Albania;I;2013;3
Base;Albania;I;2014;2
Base;Albania;I;2015;10
Base;Albania;I;2016;9
Base;Albania;I;2017;4
Base;Albania;I;2018;4
Base;Albania;I;2019;34
Base;Albania;I;2020;5
Base;Albania;I;2021;27
Base;Albania;I;2022;69
Base;Albania;I;2023;34,55402044
Base;Albania;I;2024;59,50490315
Base;Albania;I;2025;63,45051378
Base;Albania;I;2026;67,63416078
Base;Albania;I;2027;71,4463986
Base;Albania;I;2028;74,82510942
Base;Albania;I;2029;77,40493838
Base;Albania;TI;2010;2
Base;Albania;TI;2011;15
Base;Albania;TI;2012;2
Base;Albania;TI;2013;3
Base;Albania;TI;2014;2
Base;Albania;TI;2015;10
Base;Albania;TI;2016;9
Base;Albania;TI;2017;4
Base;Albania;TI;2018;4
Base;Albania;TI;2019;34
Base;Albania;TI;2020;5
Base;Albania;TI;2021;27
Base;Albania;TI;2022;69
Base;Albania;TI;2023;34,55402044
Base;Albania;TI;2024;59,50490315
Base;Albania;TI;2025;63,45051378
Base;Albania;TI;2026;67,63416078
Base;Albania;TI;2027;71,4463986
Base;Albania;TI;2028;74,82510942
Base;Albania;TI;2029;77,40493838
Base;Albania;AD;2010;21015
Base;Albania;AD;2011;22918
Base;Albania;AD;2012;20537
Base;Albania;AD;2013;19913
Base;Albania;AD;2014;18052
Base;Albania;AD;2015;20889
Base;Albania;AD;2016;22298
Base;Albania;AD;2017;24550
Base;Albania;AD;2018;25507
Base;Albania;AD;2019;28432
Base;Albania;AD;2020;15278
Base;Albania;AD;2021;26252
Base;Albania;AD;2022;38913
Base;Albania;AD;2023;50455,42077
Base;Albania;AD;2024;63627,75951
Base;Albania;AD;2025;65706,84076
Base;Albania;AD;2026;67923,92898
Base;Albania;AD;2027;69955,11649
Base;Albania;AD;2028;71833,45074
Base;Albania;AD;2029;73299,71241
Base;Albania;TAD;2010;21015
Base;Albania;TAD;2011;22918
Base;Albania;TAD;2012;20537
Base;Albania;TAD;2013;19913
Base;Albania;TAD;2014;18052
Base;Albania;TAD;2015;20889
