Rank,TZ,DAIO,Yr,mvts
Base,NM Area,I,2010,1878453
Base,NM Area,I,2011,8073798
Base,NM Area,I,2012,7801698
Base,NM Area,I,2013,7626282
Base,NM Area,I,2014,7739785
Base,NM Area,I,2015,7888915
Base,NM Area,I,2016,8183738
Base,NM Area,I,2017,8501899
Base,NM Area,I,2018,8893607
Base,NM Area,I,2019,8950320
Base,NM Area,I,2020,4050524
Base,NM Area,I,2021,5052462
Base,NM Area,I,2022,7620831
Base,NM Area,I,2023,8223363
Base,NM Area,I,2024,8611887
Base,NM Area,I,2025,8890370.896
Base,NM Area,I,2026,9077966.359
Base,NM Area,I,2027,9210345.778
Base,NM Area,I,2028,9358690.618
Base,NM Area,I,2029,9457225.639
Base,NM Area,I,2030,9570417.483
Base,NM Area,I,2031,9662675.709
Base,NM Area,TI,2010,1878453
Base,NM Area,TI,2011,8073798
Base,NM Area,TI,2012,7801698
Base,NM Area,TI,2013,7626282
Base,NM Area,TI,2014,7739785
Base,NM Area,TI,2015,7888915
Base,NM Area,TI,2016,8183738
Base,NM Area,TI,2017,8501899
Base,NM Area,TI,2018,8893607
Base,NM Area,TI,2019,8950320
Base,NM Area,TI,2020,4050524
Base,NM Area,TI,2021,5052462
Base,NM Area,TI,2022,7620831
Base,NM Area,TI,2023,8223363
Base,NM Area,TI,2024,8611887
Base,NM Area,TI,2025,8890370.896
Base,NM Area,TI,2026,9077966.359
Base,NM Area,TI,2027,9210345.778
Base,NM Area,TI,2028,9358690.618
Base,NM Area,TI,2029,9457225.639
Base,NM Area,TI,2030,9570417.483
Base,NM Area,TI,2031,9662675.709
Base,NM Area,AD,2010,429478
Base,NM Area,AD,2011,1726178
Base,NM Area,AD,2012,1757384
Base,NM Area,AD,2013,1810733
Base,NM Area,AD,2014,1861325
Base,NM Area,AD,2015,1869189
Base,NM Area,AD,2016,1879200
Base,NM Area,AD,2017,1982745
Base,NM Area,AD,2018,2004702
Base,NM Area,AD,2019,2042750
Base,NM Area,AD,2020,880745
Base,NM Area,AD,2021,1099721
Base,NM Area,AD,2022,1531417
Base,NM Area,AD,2023,1812546
Base,NM Area,AD,2024,1934134
Base,NM Area,AD,2025,2044652.893
Base,NM Area,AD,2026,2128175.737
Base,NM Area,AD,2027,2194042.888
Base,NM Area,AD,2028,2262541.412
Base,NM Area,AD,2029,2317989.177
Base,NM Area,AD,2030,2378592.144
Base,NM Area,AD,2031,2438196.677
Base,NM Area,TAD,2010,429478
Base,NM Area,TAD,2011,1726178
Base,NM Area,TAD,2012,1757384
Base,NM Area,TAD,2013,1810733
Base,NM Area,TAD,2014,1861325
Base,NM Area,TAD,2015,1869189
Base,NM Area,TAD,2016,1879200
Base,NM Area,TAD,2017,1982745
Base,NM Area,TAD,2018,2004702
Base,NM Area,TAD,2019,2042750
Base,NM Area,TAD,2020,880745
Base,NM Area,TAD,2021,1099721
Base,NM Area,TAD,2022,1531417
Base,NM Area,TAD,2023,1812546
Base,NM Area,TAD,2024,1934134
Base,NM Area,TAD,2025,2044652.893
Base,NM Area,TAD,2026,2128175.737
Base,NM Area,TAD,2027,2194042.888
Base,NM Area,TAD,2028,2262541.412
Base,NM Area,TAD,2029,2317989.177
Base,NM Area,TAD,2030,2378592.144
Base,NM Area,TAD,2031,2438196.677
Base,NM Area,O,2010,31626
Base,NM Area,O,2011,109863
Base,NM Area,O,2012,114152
Base,NM Area,O,2013,131954
Base,NM Area,O,2014,139610
Base,NM Area,O,2015,131715
Base,NM Area,O,2016,128746
Base,NM Area,O,2017,122048
Base,NM Area,O,2018,113990
Base,NM Area,O,2019,113240
Base,NM Area,O,2020,53242
Base,NM Area,O,2021,88680
Base,NM Area,O,2022,100840
Base,NM Area,O,2023,126114
Base,NM Area,O,2024,142594
Base,NM Area,O,2025,153505.861
Base,NM Area,O,2026,163727.7883
Base,NM Area,O,2027,170733.4688
Base,NM Area,O,2028,177918.6194
Base,NM Area,O,2029,183971.0951
Base,NM Area,O,2030,190614.3401
Base,NM Area,O,2031,197521.0283
Base,NM Area,TO,2010,31626
Base,NM Area,TO,2011,109863
Base,NM Area,TO,2012,114152
Base,NM Area,TO,2013,131954
Base,NM Area,TO,2014,139610
Base,NM Area,TO,2015,131715
Base,NM Area,TO,2016,128746
Base,NM Area,TO,2017,122048
Base,NM Area,TO,2018,113990
Base,NM Area,TO,2019,113240
Base,NM Area,TO,2020,53242
Base,NM Area,TO,2021,88680
Base,NM Area,TO,2022,100840
Base,NM Area,TO,2023,126114
